,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
468,members,273169,12219,27,10117.37037037037,452.55555555555554
469,st,436057,26774,61,7148.475409836065,438.91803278688525
472,church,93957,4984,19,4945.105263157895,262.3157894736842
473,south,40062,5792,62,646.1612903225806,93.41935483870968
478,lives,510008,38829,60,8500.133333333333,647.15
486,remains,9225,963,16,576.5625,60.1875
495,union,444090,28095,36,12335.833333333334,780.4166666666666
496,urges,48614,6524,18,2700.777777777778,362.44444444444446
499,accused,754904,39991,100,7549.04,399.91
511,deputy,122487,7987,27,4536.555555555556,295.81481481481484
520,march,49212,3299,20,2460.6,164.95
524,storm,179280,58670,26,6895.384615384615,2256.5384615384614
532,bail,95730,3874,16,5983.125,242.125
533,murder,218825,44845,66,3315.530303030303,679.469696969697
534,russian,135666,9517,47,2886.5106382978724,202.48936170212767
536,bomb,101336,6543,24,4222.333333333333,272.625
540,dead,310631,31189,82,3788.182926829268,380.3536585365854
556,social,374617,36359,45,8324.822222222223,807.9777777777778
557,third,119403,7526,20,5970.15,376.3
566,team,34236,5159,27,1268.0,191.07407407407408
567,return,192772,12308,24,8032.166666666667,512.8333333333334
568,college,223064,62484,22,10139.272727272728,2840.181818181818
570,lockdown,204483,15833,32,6390.09375,494.78125
571,indian,35251,4337,28,1258.9642857142858,154.89285714285714
572,asks,108358,8784,20,5417.9,439.2
579,online,254709,13816,32,7959.65625,431.75
582,launches,15233,1134,19,801.7368421052631,59.68421052631579
591,found,552198,39130,118,4679.64406779661,331.6101694915254
596,army,53715,4018,23,2335.4347826086955,174.69565217391303
597,probe,108136,2980,21,5149.333333333333,141.9047619047619
600,investig,68079,3498,22,3094.5,159.0
601,wins,287170,10205,25,11486.8,408.2
602,case,250724,26967,40,6268.1,674.175
604,rul,89583,4497,19,4714.894736842105,236.68421052631578
608,start,220953,15473,27,8183.444444444444,573.074074074074
618,months,365377,16694,26,14052.961538461539,642.0769230769231
619,prison,846446,46235,76,11137.447368421053,608.3552631578947
625,oklahoma,286663,14117,18,15925.722222222223,784.2777777777778
629,claim,155664,13548,19,8192.842105263158,713.0526315789474
632,myanmar,83643,4444,45,1858.7333333333333,98.75555555555556
637,amazon,612063,34999,54,11334.5,648.1296296296297
643,buy,107830,12102,17,6342.941176470588,711.8823529411765
646,jail,254324,14310,39,6521.128205128205,366.9230769230769
649,show,531323,31812,52,10217.75,611.7692307692307
660,high,175499,23481,53,3311.301886792453,443.0377358490566
665,back,132171,11601,45,2937.133333333333,257.8
666,armed,182967,21148,24,7623.625,881.1666666666666
668,suspect,319165,19641,71,4495.281690140845,276.63380281690144
670,cops,424399,28471,23,18452.130434782608,1237.8695652173913
671,said,211204,18840,22,9600.181818181818,856.3636363636364
675,media,308069,26644,38,8107.078947368421,701.1578947368421
681,pay,545972,31176,49,11142.285714285714,636.2448979591836
686,gets,369098,25035,45,8202.177777777777,556.3333333333334
687,red,7836,1418,16,489.75,88.625
690,russia,94638,6457,29,3263.3793103448274,222.6551724137931
692,remove,146966,7664,27,5443.185185185185,283.85185185185185
698,kills,95972,8248,30,3199.0666666666666,274.93333333333334
699,human,142269,11362,33,4311.181818181818,344.3030303030303
700,rights,100937,5759,36,2803.8055555555557,159.97222222222223
707,coronavirus,543335,36278,75,7244.466666666666,483.70666666666665
709,la,23621,2151,22,1073.6818181818182,97.77272727272727
712,west,80303,8777,28,2867.964285714286,313.4642857142857
714,next,122229,10390,20,6111.45,519.5
715,year,218009,14125,74,2946.0675675675675,190.8783783783784
716,worlds,105486,5224,19,5551.894736842105,274.94736842105266
735,center,70428,5371,20,3521.4,268.55
737,signs,401731,18229,25,16069.24,729.16
743,student,135422,7721,36,3761.722222222222,214.47222222222223
754,could,255306,27690,42,6078.714285714285,659.2857142857143
756,security,459074,31550,46,9979.869565217392,685.8695652173913
757,council,235249,6028,27,8712.925925925925,223.25925925925927
763,president,259577,15685,25,10383.08,627.4
764,wont,77162,9073,20,3858.1,453.65
769,washington,243210,26653,44,5527.5,605.75
772,county,306275,21689,82,3735.060975609756,264.5
796,offers,107670,5467,20,5383.5,273.35
803,near,166041,14556,52,3193.096153846154,279.9230769230769
804,iranian,11224,1385,16,701.5,86.5625
807,sentenced,326798,19084,38,8599.947368421053,502.2105263157895
808,years,460457,27413,70,6577.957142857143,391.6142857142857
811,charg,97823,7441,29,3373.206896551724,256.58620689655174
814,boeing,33281,1575,16,2080.0625,98.4375
823,four,206855,12353,24,8618.958333333334,514.7083333333334
825,following,381121,22446,42,9074.309523809523,534.4285714285714
833,five,72852,3391,16,4553.25,211.9375
842,shares,67349,6247,17,3961.705882352941,367.47058823529414
846,reports,30522,3896,36,847.8333333333334,108.22222222222223
847,health,166070,7837,50,3321.4,156.74
853,workers,586706,39354,60,9778.433333333332,655.9
857,three,192319,11820,35,5494.828571428571,337.7142857142857
858,arizona,44885,6033,23,1951.5217391304348,262.30434782608694
859,australian,83679,3772,25,3347.16,150.88
861,finds,127311,8166,21,6062.428571428572,388.85714285714283
868,soldiers,66015,4154,16,4125.9375,259.625
869,involved,255032,17793,17,15001.882352941177,1046.6470588235295
878,lawsuit,667549,34746,65,10269.984615384616,534.5538461538462
879,officer,1772405,105746,145,12223.48275862069,729.2827586206896
880,fired,948215,48009,49,19351.326530612245,979.7755102040817
891,saudi,84917,3091,22,3859.8636363636365,140.5
893,announces,249673,14810,28,8916.892857142857,528.9285714285714
896,system,64478,4297,20,3223.9,214.85
898,plans,128810,12302,22,5855.0,559.1818181818181
902,plant,85237,7194,20,4261.85,359.7
904,woman,694217,54333,152,4567.2171052631575,357.45394736842104
907,park,139661,11613,37,3774.6216216216217,313.86486486486484
910,scientists,25359,4361,29,874.448275862069,150.3793103448276
921,attorney,621954,32159,40,15548.85,803.975
922,utah,103874,10192,16,6492.125,637.0
923,killing,385308,39253,57,6759.789473684211,688.6491228070175
926,pleads,47376,6108,23,2059.8260869565215,265.5652173913044
936,stop,228059,15659,37,6163.756756756757,423.2162162162162
944,french,81579,9342,20,4078.95,467.1
948,part,182476,25636,17,10733.882352941177,1508.0
953,another,32055,5093,24,1335.625,212.20833333333334
958,last,105078,8878,27,3891.777777777778,328.81481481481484
960,post,81033,6195,27,3001.222222222222,229.44444444444446
967,trial,17081,3554,28,610.0357142857143,126.92857142857143
968,big,28580,4441,21,1360.952380952381,211.47619047619048
982,states,398988,27334,36,11083.0,759.2777777777778
983,find,130133,5939,23,5657.95652173913,258.2173913043478
987,cases,198452,12050,45,4410.044444444445,267.77777777777777
990,vaccination,127559,8589,20,6377.95,429.45
991,reported,144259,18693,19,7592.578947368421,983.8421052631579
993,cdc,84562,9809,23,3676.608695652174,426.4782608695652
1002,american,176202,14518,33,5339.454545454545,439.93939393939394
1006,dog,99630,9079,29,3435.5172413793102,313.0689655172414
1012,air,141015,10627,39,3615.769230769231,272.4871794871795
1024,across,181444,22880,30,6048.133333333333,762.6666666666666
1030,chinas,93884,5847,20,4694.2,292.35
1032,wants,12428,2696,16,776.75,168.5
1043,investigate,58595,2426,21,2790.2380952380954,115.52380952380952
1049,set,198350,20653,32,6198.4375,645.40625
1053,cop,309252,30980,22,14056.90909090909,1408.1818181818182
1059,deadly,37367,4262,25,1494.68,170.48
1062,atlanta,332881,49593,40,8322.025,1239.825
1066,global,83569,4556,25,3342.76,182.24
1068,vaccin,150837,20424,34,4436.382352941177,600.7058823529412
1079,driver,86663,5718,30,2888.766666666667,190.6
1086,news,287843,18424,40,7196.075,460.6
1092,teen,260515,19940,43,6058.488372093023,463.72093023255815
1094,investigation,329317,14813,40,8232.925,370.325
1096,racial,182619,12417,36,5072.75,344.9166666666667
1101,teacher,8488,2108,16,530.5,131.75
1102,japan,21463,2527,20,1073.15,126.35
1109,island,47891,2568,18,2660.6111111111113,142.66666666666666
1119,allegedly,387167,27942,58,6675.293103448276,481.7586206896552
1120,yearold,494303,37799,87,5681.64367816092,434.4712643678161
1125,hate,143529,12676,20,7176.45,633.8
1136,flight,14874,2265,23,646.695652173913,98.47826086956522
1139,iraq,57540,7949,18,3196.6666666666665,441.6111111111111
1146,arrest,458335,29481,72,6365.763888888889,409.4583333333333
1147,activist,88644,3927,21,4221.142857142857,187.0
1156,owner,249886,21400,27,9255.037037037036,792.5925925925926
1159,without,441133,27721,24,18380.541666666668,1155.0416666666667
1164,southern,21204,2666,20,1060.2,133.3
1184,missing,130249,6289,41,3176.8048780487807,153.390243902439
1188,judge,670147,29954,84,7977.940476190476,356.5952380952381
1198,th,377224,19797,21,17963.04761904762,942.7142857142857
1200,world,30985,4327,43,720.5813953488372,100.62790697674419
1208,denies,12450,2744,18,691.6666666666666,152.44444444444446
1213,away,106347,6761,21,5064.142857142857,321.95238095238096
1215,sanctions,79049,3584,17,4649.941176470588,210.8235294117647
1231,travel,36905,3565,18,2050.277777777778,198.05555555555554
1240,threat,52659,3081,25,2106.36,123.24
1243,coast,14873,1612,28,531.1785714285714,57.57142857142857
1255,hospital,278469,25154,39,7140.2307692307695,644.974358974359
1272,release,129213,8795,30,4307.1,293.1666666666667
1276,assault,413669,20649,45,9192.644444444444,458.8666666666667
1281,orders,258566,19314,33,7835.333333333333,585.2727272727273
1288,death,985130,86782,162,6081.049382716049,535.6913580246913
1291,life,157487,13351,23,6847.260869565217,580.4782608695652
1295,federal,628748,37695,69,9112.289855072464,546.304347826087
1296,authorities,100082,8313,28,3574.3571428571427,296.89285714285717
1298,portland,434226,40861,49,8861.755102040815,833.8979591836735
1300,vaccines,105096,5363,19,5531.368421052632,282.2631578947368
1305,city,724752,40535,114,6357.473684210527,355.5701754385965
1321,prosecutors,151223,11098,25,6048.92,443.92
1322,order,587303,33532,32,18353.21875,1047.875
1326,ap,137772,8246,19,7251.1578947368425,434.0
1327,top,432620,33857,41,10551.707317073171,825.780487804878
1329,drops,190222,14910,18,10567.888888888889,828.3333333333334
1335,using,123227,7079,23,5357.695652173913,307.7826086956522
1350,mask,567411,40642,62,9151.790322580646,655.516129032258
1351,wear,274002,21022,27,10148.222222222223,778.5925925925926
1355,fatal,227867,18977,21,10850.809523809523,903.6666666666666
1356,shoot,321129,28643,41,7832.414634146341,698.609756097561
1359,party,108540,7167,17,6384.705882352941,421.5882352941176
1364,least,258745,13270,29,8922.241379310344,457.58620689655174
1369,minnesota,113777,14120,24,4740.708333333333,588.3333333333334
1370,supreme,485465,31933,33,14711.060606060606,967.6666666666666
